0439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039191l/1._SX98_.jpg,2609393,4.56
0439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2._SX98_.jpg,2659293,4.49
0439554934,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SX98_.jpg,6927053,4.47
0439554896,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154604l/4._SX98_.jpg,3076404,4.41
043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré",2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281l/5._SY160_.jpg,3104185,4.56
0439887453,"The Harry Potter Collection (Harry Potter, #1-6)","J.K. Rowling, Mary GrandPré",2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866031l/7._SX98_.jpg,38161,4.73
0439682584,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPré",2004,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,43948,4.78
0976540606,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,2005,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,84,3.69
0439827604,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328867351l/10._SX98_.jpg,38161,4.73
0517226952,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404658218l/12._SX98_.jpg,399318,4.38
0345453743,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404613595l/13._SX98_.jpg,399318,4.38
1400052920,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414351529l/14._SX98_.jpg,1922896,4.22
0739322206,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Douglas Adams, Stephen Fry",2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1282925073l/16._SX98_.jpg,1922896,4.22
1572704888,"The Hitchhiker's Guide to the Galaxy: Quandary Phase (Hitchhiker's Guide: Radio Play, #4)",Douglas Adams,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328748024l/17._SX98_.jpg,1107,4.32
0517149257,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429997177l/18._SX98_.jpg,399318,4.38
0792738586,"The Hitchhiker's Guide to the Galaxy: Quintessential Phase (Hitchhiker's Guide: Radio Play, #5)",Douglas Adams,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359377432l/19._SX98_.jpg,1048,4.37
076790818X,A Short History of Nearly Everything,Bill Bryson,2004,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,553498,4.20
0767915062,Bill Bryson's African Diary,Bill Bryson,2002,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,22486,3.43
0767910435,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,2004,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,7531,3.88
0767903862,In a Sunburned Country,Bill Bryson,2001,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,131044,4.07
076790382X,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,2000,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,86527,3.90
0060920084,The Lost Continent: Travels in Small Town America,Bill Bryson,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404042682l/26._SX98_.jpg,85493,3.83
